id,name,r,g,b
1066,Teal Medium,45,82,98
1068,Teal,15,58,74
1070,Jade Light,151,195,132
1072,Jade Medium Light,96,171,138
1074,Jade Medium,51,132,113
1076,Jade,49,108,86
1080,Taupe Light,191,163,141
1082,Taupe Medium Light,148,121,100
1084,Taupe,120,99,82
1086,Taupe Dark,90,73,57
1088,Taupe Very Dark,48,39,32
1089,Electric Blue,36,130,191
1090,Electric Blue Light,122,204,252
1092,Sea Green Very Light,181,232,213
1094,Beauty Rose Very Light,251,176,206
1096,Slate Blue Light,174,192,196
1098,Crimson Light,184,33,24
4146,Sportsman Flesh,227,166,137
8581,Stone Gray,98,99,85
9046,Christmas Red,174,5,0
9159,Glacier Blue,178,217,214
9575,Brick Medium Light,219,140,107
